,Item_Weight,Item_Visibility,Item_MRP,Low Fat,Regular,High,Medium,Small,Tier 1,Tier 2,Tier 3,Supermarket Type1,Supermarket Type2,Outlet_Identifier,Item_Type,Outlet_Establishment_Year,Item_Outlet_Sales_Prediction
67,14.65,0.072066634,262.5594,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,13.0,4.0,4293.80669020132
68,14.0,0.041256807,181.2634,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,2961.16533657824
70,17.6,0.015711434,180.0976,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2989.971478050263
72,7.71,0.047782552,122.3756,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,3.0,1717.0503517823659
73,7.81,0.067560171,245.2486,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,4045.065970905873
77,13.35,0.139452413,148.6392,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,4.0,2334.280128571398
79,16.1,0.065128984,145.176,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,2341.4646066079767
80,17.85,0.024816585,152.6998,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,2590.403733974244
81,5.34,0.005988175,100.6358,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0,1379.3309709104456
82,5.51,0.034473804,97.3726,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,11.0,3.0,1591.002900882259
83,6.61,0.028987582,188.6898,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,3152.36577036702
85,16.1,0.013593151,108.9596,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,5.0,2.0,1912.3433017652587
86,13.65,0.015911432,230.5668,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,2.0,3791.8827227253673
87,19.2,0.005588601,225.5062,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,3726.624408298069
93,6.44,0.079538056,99.47,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,1318.6545034262767
94,12.6,0.064057374,122.1414,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,7.0,2.0,1987.242602034245
95,7.935,0.017156262,48.135,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,3.0,778.4095237195393
97,18.5,0.045648973,145.6102,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,4.0,2102.502727391212
99,11.8,0.058687359,81.1618,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0,3.0,1331.1750888375623
100,6.26,0.009908113,151.1366,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,1.0,2222.6140560597046
103,6.635,0.006326106,122.1098,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,2.0,2030.9330545815783
107,14.0,0.042022999,53.064,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,931.2017167980393
109,17.75,0.0,249.775,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,1.0,3841.9939289354656
111,8.155,0.119450639,190.653,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,13.0,1.0,3076.632968153062
114,6.175,0.179043614,95.3752,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,1541.0209370228108
116,8.18,0.082401592,55.9588,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,897.2466628535171
117,8.355,0.013917468,92.5462,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,1526.792464569386
118,6.905,0.038140213,96.3726,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,13.0,1.0,1724.9964129958576
122,5.48,0.015105338,84.625,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,9.0,2.0,1512.3101071114534
123,5.425,0.114650377,87.3514,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1424.405640274514
124,12.1,0.115342009,220.2114,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,14.0,3.0,3273.9024228546227
127,5.765,0.082346376,38.8164,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,9.0,2.0,284.236899351122
128,13.8,0.013318,110.1254,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,4.0,1524.4470681658195
129,13.8,0.01325293,108.2254,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,2.0,1783.408530325928
130,5.44,0.017131453,177.837,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,1.0,2671.2055785537264
131,12.8,0.022925594,116.4492,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,4.0,1925.3594175530343
132,6.13,0.028316137,109.3912,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,13.0,2.0,1925.4719111422187
134,14.15,0.1837926,81.3276,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,3.0,1229.9172131373757
136,16.75,0.029860799,39.5822,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,13.0,2.0,341.4638483910567
137,14.3,0.130617879,76.5328,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,1185.970788313803
139,5.635,0.103186396,151.805,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,2425.4546437216754
141,7.155,0.168186376,36.5874,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,468.12999703883725
142,15.2,0.050255855,97.3752,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,2.0,1606.1255583646107
143,15.25,0.061173235,128.5968,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,2214.077908953608
144,10.395,0.029881147,89.5514,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,13.0,1.0,1614.4091212831568
146,9.13,0.051837621,152.6024,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,2627.8689320906565
150,20.35,0.0,118.9466,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,9.0,1.0,2013.084353885768
153,6.57,0.066057085,259.3278,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,10.0,3.0,4368.277960414605
154,13.15,0.093044518,158.4604,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,1.0,2254.217051109526
155,4.635,0.140771867,129.4994,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,2081.163723401806
156,10.6,0.033186809,49.1008,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,485.95220233193777
157,9.3,0.11139344,65.2826,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1045.3368552404472
159,13.8,0.097212998,58.293,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,13.0,4.0,939.2614416193314
161,19.1,0.091900406,182.5608,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,4.0,3040.437372310573
162,7.51,0.017414576,231.101,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,5.0,2.0,3833.8541963685634
163,8.85,0.053866912,183.0292,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,4.0,2978.8909461368817
164,17.35,0.014714625,75.4038,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1284.4898620540744
167,16.6,0.122417514,174.3738,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,2809.3451276074034
175,7.51,0.017500079,228.801,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,14.0,3.0,3504.2737756701276
180,15.5,0.026297031,102.7332,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,3.0,1800.0025447059083
181,4.905,0.117808305,198.5768,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,2883.044380502333
182,9.285,0.049270974,243.9144,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,14.0,4.0,4156.82527981209
185,8.895,0.0,110.9544,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,3.0,1878.8659197633829
186,16.35,0.068068082,199.1426,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,3345.9876915312893
187,10.195,0.01761655,239.4538,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,10.0,1.0,4011.3278613848993
188,9.5,0.040898157,225.2088,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,3745.059219176293
189,12.1,0.079791176,169.5106,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,13.0,2.0,2872.540262072515
190,12.5,0.031049674,101.399,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,1623.9084357955571
191,15.2,0.019112323,236.2248,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,3579.630858990218
192,5.635,0.103272336,151.205,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,8.0,2.0,2418.49611206878
194,8.895,0.081073148,51.2008,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,939.4969299517156
198,16.25,0.02573698,169.3474,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,15.0,1.0,2798.7464031517634
204,9.21,0.00880049,123.0414,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,4.0,1734.2024697939937
205,20.85,0.039562497,118.1808,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,1882.2977905044977
206,10.0,0.038745948,245.0144,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,4074.919741554349
208,19.25,0.027075481,195.611,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,3.0,3328.974660529952
209,18.5,0.052068722,117.0124,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,1873.7120422775215
212,15.7,0.008771522,205.798,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,3121.6107005476356
214,10.8,0.028919203,240.9222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,14.0,3.0,4012.138158856523
218,18.0,0.07319282,154.2972,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2454.2410745123384
219,10.5,0.011287929,238.9248,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,3957.687533407379
221,14.0,0.105057952,141.1812,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,2315.5561383182326
222,15.6,0.0,169.2132,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,2791.0481279466735
223,11.6,0.017741644,178.3686,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,13.0,2.0,3072.2501719407505
225,20.5,0.141766029,87.4172,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,1414.4194289756047
226,5.035,0.080236064,226.4036,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,4.0,3406.2979333531944
227,17.6,0.082332074,160.392,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,2596.547691660078
230,17.5,0.0,255.2356,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,4217.326342482635
232,8.71,0.121227447,95.2778,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1568.7792928866124
234,10.695,0.011425458,73.6038,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,2.0,1216.6673698838486
235,14.8,0.043961689,109.157,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1808.480077946368
237,12.15,0.029523375,117.215,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,2.0,1897.7290628243213
246,19.6,0.024206741,47.0718,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,6.0,2.0,762.7338060633315
247,10.695,0.063862271,38.1848,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,596.9255304289791
255,17.85,0.018020588,94.4094,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,14.0,1.0,1677.1130925520897
256,7.81,0.067442541,244.7486,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4110.406069327009
258,12.1,0.030127406,74.567,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,13.0,4.0,1212.4489661105576
259,17.6,0.016014343,44.0402,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,13.0,1.0,771.1669572855458
261,15.1,0.055926872,141.4496,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,2.0,2332.9012582977366
262,14.5,0.097597084,158.5262,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,3.0,2256.1878083306538
264,20.25,0.0,186.4924,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,3142.216231753749
265,9.0,0.019506654,169.5474,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,14.0,2.0,2810.1382882162693
266,11.8,0.022936556,177.6686,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,2607.1795659077156
268,7.51,0.103974431,112.1544,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,3.0,1813.2061167641073
273,5.88,0.024866609,148.3392,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,4.0,2479.0955343533183
274,15.0,0.064129493,45.906,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,13.0,1.0,833.5061584636933
275,16.1,0.100213917,79.0328,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,2.0,1317.3205892898668
276,21.25,0.155621254,178.237,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,2867.875886917894
278,11.8,0.170283492,115.1834,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1745.6276467912662
279,15.15,0.012313256,132.8284,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,1892.586907318006
281,5.985,0.005689466,186.6924,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,2.0,2791.768102861322
283,9.0,0.050579228,151.3024,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,2560.4747115204077
285,17.75,0.034806679,250.175,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,4153.3832860301245
287,7.325,0.093530571,90.4146,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,1497.4242014076176
288,12.1,0.061124626,56.4614,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,948.8717007172668
289,14.0,0.0,54.864,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,4.0,902.4420402558876
290,12.85,0.121624114,42.2428,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,4.0,600.43728875345
291,7.535,0.081719458,118.444,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,3.0,1907.691396332692
292,16.35,0.01336643,105.228,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1692.209810513199
295,19.2,0.077443049,194.511,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,3198.6673441845674
299,14.15,0.036090136,41.1138,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,10.0,2.0,354.3240326749915
302,20.25,0.147933567,235.3616,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,1.0,3769.1266134737175
303,9.6,0.084937598,105.028,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,1768.6942688257232
304,20.5,0.020601136,91.683,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,1583.4156455874804
305,12.35,0.158439388,156.0946,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2554.7889559014634
307,15.75,0.135072801,99.17,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,9.0,2.0,1519.2653625550283
308,19.2,0.035156307,179.1318,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,2924.471193650005
310,9.395,0.100315391,85.8856,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,14.0,2.0,1405.8737987878758
311,18.2,0.058420325,221.4456,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,3634.727145163333
312,19.0,0.027096298,128.6336,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,4.0,1799.5168645109566
315,11.65,0.076158144,82.9908,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,13.0,1.0,1054.0530663404907
317,9.695,0.129998012,185.1898,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,2932.205155637072
319,20.75,0.024247803,123.973,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,4.0,1722.3978593460583
320,8.89,0.005483027,100.4016,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,4.0,1700.0486691626165
321,12.6,0.064371885,119.8414,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,1658.3023519430303
322,12.6,0.082684949,176.6054,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,3.0,2865.792170750565
324,9.3,0.014016743,196.8084,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,10.0,1.0,3398.4617385301676
328,8.935,0.04017515,54.1298,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,949.2729468164789
329,11.15,0.120441348,43.7744,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,8.0,1.0,326.96900140072967
340,11.5,0.073178424,189.153,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,4.0,2763.889757423483
342,19.35,0.026222599,169.0474,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2784.2415331342268
343,19.5,0.0,233.1958,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,9.0,2.0,3874.3218964107177
344,16.1,0.01361686,107.2596,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1827.209915251245
348,15.1,0.099858247,146.4786,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,2341.913930001978
349,17.25,0.047339698,96.5068,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1633.0955631566885
351,10.6,0.033024663,49.3008,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,8.0,2.0,832.6545446038062
353,15.2,0.112875322,37.2848,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,13.0,3.0,644.0353815222647
354,5.845,0.104930609,212.3218,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3468.547960318903
355,6.57,0.097275225,192.682,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,3.0,2825.0076239657806
